,Sales,Releases,Age,X360,Wii,XOne,WiiU,PS3,NS,PS4
MAGES  ,0.02,1,0.0,0,0,0,0,0,0,1
Naxat Soft  ,0.0,0,10.0,0,0,0,0,0,0,0
Epoch  ,0.0,0,27.0,0,0,0,0,0,0,0
Hiromi  ,0.0,0,20.0,0,0,0,0,0,0,0
Marvelous Interactive  ,0.30000000000000004,5,11.0,1,1,0,0,1,0,0
Conspiracy Entertainment  ,7.209999999999999,27,17.0,1,1,0,0,1,0,0
Magix  ,0.0,0,15.0,0,0,0,0,0,0,0
2K Play  ,11.48,14,10.0,1,1,0,0,0,0,0
Rising Star   ,0.09,1,7.0,1,0,0,0,0,0,0
Societa  ,0.0,0,22.0,0,0,0,0,0,0,0
Game Factory  ,1.7400000000000002,6,12.0,0,1,0,0,0,0,0
Majesco Entertainment  ,1.34,4,6.0,1,1,1,1,0,0,0
Groove Games  ,0.0,0,13.0,0,0,0,0,0,0,0
Polykid  ,0.10999999999999999,1,1.0,0,0,0,0,0,1,0
On Demand  ,0.0,0,21.0,0,0,0,0,0,0,0
Twisted Pixel Games  ,0.76,1,7.0,1,0,0,0,0,0,0
Strategy First  ,0.0,0,10.0,0,0,0,0,0,0,0
"Genius Products, Inc.  ",0.04,1,10.0,0,1,0,0,0,0,0
Ravenscourt  ,0.18,1,3.0,0,0,0,0,0,0,1
Warner Bros. Interactive Entertainment  ,173.17,114,7.0,1,1,1,1,1,1,1
RED Entertainment  ,0.0,0,8.0,0,0,0,0,0,0,0
CBS Electronics  ,0.0,0,35.0,0,0,0,0,0,0,0
Capcom Entertainment  ,0.13,2,0.0,0,0,1,0,0,0,1
Media Works  ,0.0,0,22.0,0,0,0,0,0,0,0
Milestone S.r.l.  ,1.8300000000000005,16,3.0,1,0,1,0,1,1,1
U.S. Gold  ,0.0,0,22.0,0,0,0,0,0,0,0
DTP Entertainment  ,0.38999999999999996,6,8.0,1,1,0,0,1,0,0
Pony Canyon  ,0.0,0,18.0,0,0,0,0,0,0,0
Playlogic Game Factory  ,1.2100000000000002,7,9.0,1,1,0,0,1,0,0
Sony Computer Entertainment Europe  ,0.52,2,4.0,0,0,0,0,1,0,1
Agetec  ,1.0,1,19.0,0,0,0,0,1,0,0
CokeM Interactive  ,0.16,3,1.0,0,0,1,0,0,0,1
Idea Factory  ,0.08,3,16.0,1,0,0,0,1,0,0
M2  ,0.02,1,2.0,0,0,0,0,0,0,1
O3 Entertainment  ,0.0,0,14.0,0,0,0,0,0,0,0
Microsoft Game Studios  ,136.26000000000002,44,15.0,1,0,1,1,0,1,0
Cave  ,0.45,9,9.0,1,0,0,0,0,0,0
Micro Cabin  ,0.0,0,23.0,0,0,0,0,0,0,0
DSI Games  ,1.2600000000000002,7,11.0,0,1,0,0,0,0,0
Rocket Company  ,0.14,1,7.0,0,1,0,0,0,0,0
5pb  ,2.0100000000000007,44,10.0,1,0,1,0,1,0,1
O~3 Entertainment  ,0.0,0,14.0,0,0,0,0,0,0,0
Nippon Amuse  ,0.0,0,16.0,0,0,0,0,0,0,0
704Games  ,0.37,2,1.0,0,0,1,0,0,0,1
Marvelous  ,0.22,1,0.0,0,0,0,0,0,0,1
Thomas Happ Games  ,0.25,2,3.0,0,0,0,0,0,1,1
Paon   ,0.0,0,11.0,0,0,0,0,0,0,0
Bold Games  ,0.19999999999999998,6,11.0,0,1,0,0,0,0,0
Konami  ,92.87000000000002,125,32.0,1,1,0,0,1,0,1
PopCap Games  ,1.6300000000000003,7,11.0,1,0,0,0,1,0,0
Square Enix  ,155.88,126,15.0,1,1,1,1,1,1,1
inXile Entertainment  ,0.0,0,14.0,0,0,0,0,0,0,0
UIG Entertainment  ,0.02,1,2.0,0,0,0,0,0,0,1
